Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;3288-3560;0.865611289269206;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;1615-1897;0.8533462574465978;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;810-1105;0.8528408866288162;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6984-7279;0.871801066269809;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;6887-7183;0.8642346954472588;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;911-1210;0.8637109048946369;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10530-10825;0.862895799297456;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;3852-4149;0.8591820786449602;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;713-1008;0.8562144568345454;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Account Statements.txt;4401-4700;0.8116215556540918;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Account Statements.txt;4117-4415;0.8106156446520523;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Get to know George Pro.txt;13675-13967;0.8097393351865685;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5726-6018;0.8487561803947634;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;5624-5923;0.8430617115341186;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;6887-7183;0.8409710641595789;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;810-1105;0.8632914039742257;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;3288-3560;0.8619539889814093;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;648-912;0.8537424262719203;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;911-1210;0.8721734906243216;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;1016-1309;0.8685929206211491;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;7986-8241;0.8675293239093842;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;911-1210;0.8579635863285748;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;10530-10825;0.845772526275414;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;6887-7183;0.8456147702928591;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12713-13011;0.8674222069775536;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;911-1210;0.8650539523977608;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;713-1008;0.8641890420820557;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13956-14255;0.8083187566391639;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;14162-14452;0.798249363122462;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;14057-14353;0.7935120426163532;1;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;5978-6273;0.865124716953828;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;4804-5097;0.8547392135969623;1;;;
11;George Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;5915-6176;0.8440626825946742;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;Credit Card Notifications from George.txt;3645-3939;0.7976265155787485;1;1;1.0;1.0
12;Push-Benachrichtigungen Themenauswahl;2;Credit Card Notifications from George.txt;6175-6462;0.7869466447390993;1;;;
12;Push-Benachrichtigungen Themenauswahl;3;Get to know George Pro.txt;3363-3655;0.7862636043792018;1;;;
13;George Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;3619-3891;0.8595882472596327;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;Credit Card Notifications from George.txt;4898-5194;0.8561273205476378;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;2872-3170;0.8519117802450967;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.8273310002186338;1;1;1.0;1.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;Credit Card Notifications from George.txt;5397-5690;0.8083211580754988;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;How and Where You Receive Notifications.txt;1038-1293;0.8068729991816754;1;;;
15;Benachrichtigung bei Währungsumrechnung George;1;Currency Converter.txt;150-448;0.8663831461983911;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;Currency Converter.txt;255-553;0.8600663151631909;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;How and Where You Receive Notifications.txt;1793-2091;0.8599933815267311;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;1;Credit Card Notifications from George.txt;5978-6273;0.8625525653726025;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George?;2;Credit Card Notifications from George.txt;4804-5097;0.8596297793828125;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;3;Credit Card Notifications from George.txt;4725-5000;0.8595778239069497;1;;;
17;Benachrichtigungen über George einstellen;1;Credit Card Notifications from George.txt;5978-6273;0.8614687797000199;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;Credit Card Notifications from George.txt;1377-1673;0.8571303073602055;1;;;
17;Benachrichtigungen über George einstellen;3;How and Where You Receive Notifications.txt;2872-3170;0.8549595236545126;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;1;Credit Card Notifications from George.txt;5978-6273;0.8493371442443134;1;1;1.0;1.0
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;2;Credit Card Notifications from George.txt;3645-3939;0.8476057514147468;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;3;Authorised Call.txt;1230-1526;0.8455463920022748;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;1;Credit Card Notifications from George.txt;5978-6273;0.8578749013120774;1;1;1.0;1.0
19;Benachrichtigungsthemen bei George bearbeiten;2;How and Where You Receive Notifications.txt;2872-3170;0.8508317946346461;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;3;How and Where You Receive Notifications.txt;3797-4094;0.8478757069878271;1;;;
20;Wie informiert George über Kontobewegungen?;1;How and Where You Receive Notifications.txt;1793-2091;0.8572811726585368;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen?;2;Credit Card Notifications from George.txt;7084-7377;0.8388975824773616;1;;;
20;Wie informiert George über Kontobewegungen?;3;How and Where You Receive Notifications.txt;3619-3891;0.8372464324259326;1;;;
21;George Push bei Transaktionen;1;Quick search with Filters.txt;1017-1316;0.8338416307899459;1;1;1.0;1.0
21;George Push bei Transaktionen;2;How and Where You Receive Notifications.txt;3460-3756;0.8328242381951901;1;;;
21;George Push bei Transaktionen;3;How to Search & Find Transactions with George.txt;0-300;0.832367391876121;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.8306110666174449;1;1;1.0;1.0
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;1038-1293;0.8181731391384285;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1099-1398;0.8154659740922359;1;;;
23;George Benachrichtigungen im Handy aktivieren;1;Credit Card Notifications from George.txt;5978-6273;0.8558302754599458;1;1;1.0;1.0
23;George Benachrichtigungen im Handy aktivieren;2;Credit Card Notifications from George.txt;4725-5000;0.8491067902152879;1;;;
23;George Benachrichtigungen im Handy aktivieren;3;Credit Card Notifications from George.txt;1377-1673;0.8488636327047053;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;1;Credit Card Invoices.txt;2835-3132;0.8560803686678318;1;1;1.0;1.0
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;2;Credit Card Notifications from George.txt;4898-5194;0.8559290879198871;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;3;Credit Card Notifications from George.txt;7854-8147;0.8534656625143966;1;;;
25;Push bei Währungsumrechnung aktivieren;1;Currency Converter.txt;1127-1423;0.8241224575765566;1;1;1.0;1.0
25;Push bei Währungsumrechnung aktivieren;2;Currency Converter.txt;1029-1324;0.81759404429507;1;;;
25;Push bei Währungsumrechnung aktivieren;3;Currency Converter.txt;483-781;0.813007584333383;1;;;
26;Wie kann man das App-Symbol in der George App ändern?;1;How to Change Your App Icon.txt;0-300;0.8603712458192596;1;1;1.0;1.0
26;Wie kann man das App-Symbol in der George App ändern?;2;How to Change Your App Icon.txt;1352-1647;0.8607250344687573;1;;;
26;Wie kann man das App-Symbol in der George App ändern?;3;How to Change Your App Icon.txt;1076-1371;0.8531451771100707;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symbols zur Verfügung?;1;How to Change Your App Icon.txt;978-1274;0.8326313194573629;1;1;1.0;1.0
27;Welche Farboptionen stehen beim Ändern des App-Symbols zur Verfügung?;2;How to Change Your App Icon.txt;781-1080;0.8156022072751138;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symbols zur Verfügung?;3;How to Change Your App Icon.txt;0-300;0.80817703346497;1;;;
28;Ist das Ändern des App-Symbols auch auf Android möglich?;1;How to Change Your App Icon.txt;558-853;0.8012718002823317;1;1;1.0;1.0
28;Ist das Ändern des App-Symbols auch auf Android möglich?;2;How to Change Your App Icon.txt;1253-1549;0.7965941164816002;1;;;
28;Ist das Ändern des App-Symbols auch auf Android möglich?;3;How to Change Your App Icon.txt;0-300;0.7932654729002857;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols?;1;How to Change Your App Icon.txt;1352-1647;0.8505313671889267;1;1;1.0;1.0
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols?;2;Currency Converter.txt;1127-1423;0.846400512855134;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols?;3;How to Change Your App Icon.txt;0-300;0.8451736427390981;1;;;
30;Kann das App-Symbol in der George App jederzeit geändert werden?;1;How to Change Your App Icon.txt;0-300;0.8513623583883271;1;1;1.0;1.0
30;Kann das App-Symbol in der George App jederzeit geändert werden?;2;How to Change Your App Icon.txt;1253-1549;0.8514419427351236;1;;;
30;Kann das App-Symbol in der George App jederzeit geändert werden?;3;How to Change Your App Icon.txt;1352-1647;0.8493203623823508;1;;;
31;George App Symbol ändern – wie funktioniert das?;1;Currency Converter.txt;1332-1610;0.8488183427685982;1;1;1.0;1.0
31;George App Symbol ändern – wie funktioniert das?;2;Currency Converter.txt;1229-1527;0.8465736835146009;1;;;
31;George App Symbol ändern – wie funktioniert das?;3;How to Change Your App Icon.txt;1352-1647;0.8439616206034511;1;;;
32;App-Symbol Farben in der George App – welche Auswahl gibt es?;1;How to Change Your App Icon.txt;978-1274;0.8357499012007659;1;1;1.0;1.0
32;App-Symbol Farben in der George App – welche Auswahl gibt es?;2;How to Use George in Dark Mode.txt;426-724;0.8299734780105941;1;;;
32;App-Symbol Farben in der George App – welche Auswahl gibt es?;3;Colour up.txt;338-634;0.8290642914593889;1;;;
33;App-Symbol anpassen – wann wird Android unterstützt?;1;How to Change Your App Icon.txt;558-853;0.8140517958648698;1;1;1.0;1.0
33;App-Symbol anpassen – wann wird Android unterstützt?;2;Currency Converter.txt;1127-1423;0.7924091286070316;1;;;
33;App-Symbol anpassen – wann wird Android unterstützt?;3;Currency Converter.txt;1029-1324;0.7915654951612776;1;;;
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn?;1;How to Change Your App Icon.txt;1352-1647;0.8535429897040697;1;1;1.0;1.0
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn?;2;Get Started with the George App on a New Device (George ID).txt;2181-2473;0.8508754928489675;1;;;
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn?;3;Get Started with the George App on a New Device (George ID).txt;2078-2374;0.849751784898921;1;;;
35;App-Icon in George App zurücksetzen oder neu wählen – ist das möglich?;1;How to Change Your App Icon.txt;1253-1549;0.8539599018922934;1;1;1.0;1.0
35;App-Icon in George App zurücksetzen oder neu wählen – ist das möglich?;2;How to Change Your App Icon.txt;1076-1371;0.8455216535562055;1;;;
35;App-Icon in George App zurücksetzen oder neu wählen – ist das möglich?;3;How to Change Your App Icon.txt;1352-1647;0.8449274437959615;1;;;
36;Währungsrechner in George finden;1;Currency Converter.txt;255-553;0.8838113234164713;1;1;1.0;1.0
36;Währungsrechner in George finden;2;Currency Converter.txt;150-448;0.8752205314072388;1;;;
36;Währungsrechner in George finden;3;Currency Converter.txt;586-878;0.87259010055756;1;;;
37;Betrag umrechnen in Fremdwährung;1;Currency Converter.txt;586-878;0.8276797015064421;1;1;1.0;1.0
37;Betrag umrechnen in Fremdwährung;2;Currency Converter.txt;681-934;0.8107552906752923;1;;;
37;Betrag umrechnen in Fremdwährung;3;Tips & Tricks for your Search.txt;3274-3572;0.8100354808400789;1;;;
38;App-Symbol gedrückt halten für Währungsrechner;1;Currency Converter.txt;1127-1423;0.8610747789718618;1;1;1.0;1.0
38;App-Symbol gedrückt halten für Währungsrechner;2;Currency Converter.txt;1029-1324;0.8597787801983775;1;;;
38;App-Symbol gedrückt halten für Währungsrechner;3;Currency Converter.txt;877-1174;0.8433255770537651;1;;;
39;Währungsrechner ohne App öffnen Android;1;Currency Converter.txt;1029-1324;0.8642494329384676;1;1;1.0;1.0
