Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;Get to know George Pro.txt;1985-2284;0.8532646755932567;1;1;1.0;1.0
1;Wi aktiviert man Gorege Pro ?;2;Get to know George Pro.txt;3292-3560;0.8505484952002165;1;;;
1;Wi aktiviert man Gorege Pro ?;3;Get to know George Pro.txt;4241-4538;0.845853906324699;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;Get to know George Pro.txt;6881-7178;0.8283425094222052;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;Get to know George Pro.txt;4444-4741;0.8260813575465467;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;Get to know George Pro.txt;6790-7080;0.8229082613466029;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;Get to know George Pro.txt;10524-10818;0.8660287072463764;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;Get to know George Pro.txt;10906-11199;0.8664407168731378;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;Get to know George Pro.txt;6881-7178;0.8545278819799521;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;Account Statements.txt;4410-4708;0.8170116931997541;1;1;1.0;1.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;Get to know George Pro.txt;1104-1403;0.8154051137906352;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;Get to know George Pro.txt;13012-13308;0.8068405767288739;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;5719-6013;0.8491978299615836;1;1;1.0;1.0
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;13963-14260;0.8430333054377535;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;5617-5915;0.8423783280561902;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;811-1107;0.855601607437369;1;1;1.0;1.0
6;Aktivieurng von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;146-439;0.8463587026303966;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;4241-4538;0.8445506797714237;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;146-439;0.8679164793022557;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;241-539;0.8656779371068354;1;;;
