Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;George Pro: eine Einführung.txt;1591-1862;0.8075669962739527;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;George Pro: eine Einführung.txt;1696-1982;0.7350936644815613;1;;;
1;Wie aktiviert man George Pro ?;3;George Pro: eine Einführung.txt;3308-3566;0.7548821766067695;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;George Pro: eine Einführung.txt;6553-6841;0.7954330347387362;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;George Pro: eine Einführung.txt;1045-1327;0.7470183319317645;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;George Pro: eine Einführung.txt;7651-7936;0.7561384684137078;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;George Pro: eine Einführung.txt;11642-11918;0.7474842210705583;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;George Pro: eine Einführung.txt;11375-11641;0.7697714369174421;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;George Pro: eine Einführung.txt;11554-11836;0.746577440629886;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.7250395177549995;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;George Pro: eine Einführung.txt;13850-14120;0.6904477102494103;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;George Pro: eine Einführung.txt;13663-13942;0.7101283340354466;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;George Pro: eine Einführung.txt;15130-15395;0.8031444662296745;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;George Pro: eine Einführung.txt;15038-15308;0.7433797573676899;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;George Pro: eine Einführung.txt;14949-15234;0.7364023609570745;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;George Pro: eine Einführung.txt;3308-3566;0.7840675700565777;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;George Pro: eine Einführung.txt;1591-1862;0.788494807531519;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;George Pro: eine Einführung.txt;1983-2251;0.7377886122005921;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;10239-10523;0.7905971052387613;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;7651-7936;0.7639165975129453;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;10153-10433;0.7632607313724686;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;George Pro: eine Einführung.txt;11642-11918;0.7152375533256132;1;1;1.0;1.0
