Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;George Pro: eine Einführung.txt;1591-1862;0.7618056217815257;1;1;1.0;1.0
1;Wie aktiviert man George kPro;2;George Pro: eine Einführung.txt;1696-1982;0.6992825722912099;1;;;
1;Wie aktiviert man George kPro;3;George Pro: eine Einführung.txt;1817-2102;0.6892696197681856;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;George Pro: eine Einführung.txt;6553-6841;0.8512009313384934;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;George Pro: eine Einführung.txt;1045-1327;0.8043091875070685;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;George Pro: eine Einführung.txt;7651-7936;0.809331603002788;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;George Pro: eine Einführung.txt;11642-11918;0.6859173304481117;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;George Pro: eine Einführung.txt;11375-11641;0.7140584097507536;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;George Pro: eine Einführung.txt;11554-11836;0.6764814846950818;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.7250395177549995;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;George Pro: eine Einführung.txt;13850-14120;0.6904477102494103;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;George Pro: eine Einführung.txt;13663-13942;0.7101283340354466;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;George Pro: eine Einführung.txt;15130-15395;0.8019395164815064;1;1;1.0;1.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;George Pro: eine Einführung.txt;15038-15308;0.7428331240434969;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;George Pro: eine Einführung.txt;14949-15234;0.7342980057050064;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;George Pro: eine Einführung.txt;3308-3566;0.7658765640694476;1;1;1.0;1.0
6;Aktivierung von George Pro Schrit-für-Schritt;2;George Pro: eine Einführung.txt;1591-1862;0.7565872010800725;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;3;George Pro: eine Einführung.txt;3196-3477;0.7209311931330639;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;10239-10523;0.7943344505565582;1;1;1.0;1.0
7;Automatisccher Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;7651-7936;0.7690643535067829;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;10153-10433;0.7563643630279488;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;1;George Pro: eine Einführung.txt;11218-11509;0.7179780659639119;1;1;1.0;1.0
8;Liquditätsprognose in Geroge Pro Funktion ... n;2;George Pro: eine Einführung.txt;11642-11918;0.6818245907427436;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;3;George Pro: eine Einführung.txt;11375-11641;0.6854932102331;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;1;George Pro: eine Einführung.txt;13850-14120;0.7479974296302031;1;1;1.0;1.0
9;Exportfunkt ... on George Pro Buchhaltungsdaten;2;George Pro: eine Einführung.txt;13760-14022;0.7405594596205433;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;3;George Pro: eine Einführung.txt;14108-14376;0.6997595047750547;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;1;George Pro: eine Einführung.txt;15130-15395;0.6807465789632882;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;2;George Pro: eine Einführung.txt;15235-15521;0.6312129846378374;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;3;George Pro: eine Einführung.txt;14949-15234;0.6470745476876179;1;;;
11;George Benachrichtigungen aktivieren;1;Benachrichtigungen von George.txt;2974-3249;0.7845653737102289;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;2318-2597;0.7498326249883187;1;;;
11;George Benachrichtigungen aktivieren;3;Benachrichtigungen von George.txt;6387-6655;0.7603302577515028;1;;;
12;Push-Benachrichtigungen Thcemenauswahl;1;Benachrichtigungen von George.txt;2407-2702;0.6572797285555153;1;1;1.0;1.0
12;Push-Benachrichtigungen Thcemenauswahl;2;Benachrichtigungen von George.txt;2518-2805;0.6487514164296136;1;;;
12;Push-Benachrichtigungen Thcemenauswahl;3;Benachrichtigungen von George.txt;1435-1702;0.6304534588419248;1;;;
13;Geore Konto Transaktionsbenachrichtigungen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1655-1917;0.727749094273281;1;1;1.0;1.0
13;Geore Konto Transaktionsbenachrichtigungen;2;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.6887284535893139;1;;;
13;Geore Konto Transaktionsbenachrichtigungen;3;Wo und wie Sie Benachrichtigungen erhalten.txt;1834-2123;0.6562145233924208;1;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;1;Konto-Einstellungen.txt;2963-3247;0.5131235920032271;1;1;1.0;1.0
14;Benbachrichtigungen in Systemeinstellungen aktivieren;2;So starten Sie die George App auf einem neuen Gerät (s Identity).txt;8519-8775;0.48267810243925235;1;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;3;Ihr Überziehungsrahmen.txt;2464-2730;0.4920702760114344;1;;;
