Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;3292-3560;0.8670299772103487;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;1985-2284;0.8658764104685398;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;4241-4538;0.8557625528562128;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6881-7178;0.865770601532139;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;6981-7279;0.8564079844926713;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6790-7080;0.8502788320180077;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10524-10818;0.8696090056645323;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10906-11199;0.8683813314322835;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;6881-7178;0.8558697511742426;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Account Statements.txt;4410-4708;0.8196654967228891;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Get to know George Pro.txt;1104-1403;0.8135084914383608;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Get to know George Pro.txt;13670-13962;0.8106215501966649;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5719-6013;0.8480041799047415;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;5617-5915;0.8434095406539264;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;13856-14151;0.8410539121208298;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;3292-3560;0.8602535653390274;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;811-1107;0.8582745594671443;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1985-2284;0.8545548595074849;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;146-439;0.8679164793022557;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;241-539;0.8656779371068354;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;8140-8437;0.8646369249455687;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;10524-10818;0.8584590230933372;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;912-1207;0.8503869807969071;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;6881-7178;0.8452158232605649;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12709-13007;0.8685829351755624;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;717-1009;0.8624479501026712;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;1104-1403;0.8608568454443125;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13963-14260;0.8189745102243611;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;14173-14472;0.7966842201982259;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;1208-1505;0.7915091472468587;1;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;5974-6267;0.8691087835719009;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;4801-5094;0.8596337728129235;1;;;
11;George Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;7076-7369;0.8449790256883968;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;Credit Card Notifications from George.txt;3645-3940;0.8009622494286954;1;1;1.0;1.0
12;Push-Benachrichtigungen Themenauswahl;2;Credit Card Notifications from George.txt;5974-6267;0.7877570698847176;1;;;
12;Push-Benachrichtigungen Themenauswahl;3;Credit Card Notifications from George.txt;6169-6455;0.7861675186797187;1;;;
13;George Konto Transaktionsbenachrichtigungen;1;Savings Account History.txt;3680-3973;0.8599016808633917;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;3621-3891;0.8581212082321521;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;Quick search with Filters.txt;1022-1321;0.8577660780006734;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;How and Where You Receive Notifications.txt;1611-1884;0.8237837807785808;1;1;1.0;1.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;Credit Card Notifications from George.txt;2861-3159;0.8138646150952111;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;Credit Card Notifications from George.txt;5974-6267;0.8125450563502665;1;;;
15;Benachrichtigung bei Währungsumrechnung George;1;How and Where You Receive Notifications.txt;1882-2180;0.8782222014694216;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;Currency Converter.txt;0-296;0.863519741370134;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;Currency Converter.txt;879-1178;0.8611551881208674;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;1;Credit Card Notifications from George.txt;5974-6267;0.871742077458885;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George?;2;Credit Card Notifications from George.txt;4801-5094;0.862975723665399;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;3;How and Where You Receive Notifications.txt;1037-1291;0.8521673592797209;1;;;
