Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;How can you add a custom picture to an account or card in George?;1;A Picture tells a 1000 Words.txt;2188-2479;0.920637467995769;1;1;1.0;1.0
1;How can you add a custom picture to an account or card in George?;2;A Picture tells a 1000 Words.txt;631-919;0.917554762118956;1;;;
1;How can you add a custom picture to an account or card in George?;3;A Picture tells a 1000 Words.txt;477-761;0.9029612675444632;1;;;
2;What steps are required to delete a personalized picture in George via the web browser?;1;A Picture tells a 1000 Words.txt;1942-2226;0.8645002978049332;1;1;1.0;1.0
2;What steps are required to delete a personalized picture in George via the web browser?;2;A Picture tells a 1000 Words.txt;1745-2030;0.8577723072690784;1;;;
2;What steps are required to delete a personalized picture in George via the web browser?;3;A Picture tells a 1000 Words.txt;631-919;0.8481187003799668;1;;;
3;How can you change a picture for an account or card using the George app?;1;A Picture tells a 1000 Words.txt;631-919;0.9247291258317976;1;1;1.0;1.0
3;How can you change a picture for an account or card using the George app?;2;A Picture tells a 1000 Words.txt;2188-2479;0.9157267626190417;1;;;
3;How can you change a picture for an account or card using the George app?;3;A Picture tells a 1000 Words.txt;477-761;0.9119894805913096;1;;;
4;What other personalization options besides pictures are available in George?;1;A Picture tells a 1000 Words.txt;3143-3430;0.8589912925284666;1;1;1.0;1.0
4;What other personalization options besides pictures are available in George?;2;Colour up.txt;1977-2272;0.8556069354010265;1;;;
4;What other personalization options besides pictures are available in George?;3;Change Your Background.txt;835-1132;0.8526144458305037;1;;;
5;Can you personalize your account and card images directly from the overview screen in George?;1;Name your Accounts & Cards.txt;588-868;0.8981224890222088;1;1;1.0;1.0
5;Can you personalize your account and card images directly from the overview screen in George?;2;Change Your Background.txt;835-1132;0.8960404976626107;1;;;
5;Can you personalize your account and card images directly from the overview screen in George?;3;A Picture tells a 1000 Words.txt;3143-3430;0.8933156253323986;1;;;
6;add image to account George;1;A Picture tells a 1000 Words.txt;631-919;0.8807556460578008;1;1;1.0;1.0
6;add image to account George;2;A Picture tells a 1000 Words.txt;2188-2479;0.8735570093101483;1;;;
6;add image to account George;3;A Picture tells a 1000 Words.txt;477-761;0.8733904316633618;1;;;
7;delete custom picture George online;1;A Picture tells a 1000 Words.txt;1644-1941;0.8443521189923062;1;1;1.0;1.0
7;delete custom picture George online;2;A Picture tells a 1000 Words.txt;1745-2030;0.8413630118894466;1;;;
7;delete custom picture George online;3;A Picture tells a 1000 Words.txt;1942-2226;0.8413676216205603;1;;;
8;change account/card image George app;1;A Picture tells a 1000 Words.txt;631-919;0.9083160345494774;1;1;1.0;1.0
8;change account/card image George app;2;A Picture tells a 1000 Words.txt;2188-2479;0.8930327565454261;1;;;
8;change account/card image George app;3;A Picture tells a 1000 Words.txt;344-641;0.8907815839853953;1;;;
9;personalization options in George;1;Credit Card Notifications from George.txt;770-1059;0.8602471863268899;1;1;1.0;1.0
9;personalization options in George;2;Colour up.txt;598-860;0.8602492794899419;1;;;
9;personalization options in George;3;Name your Accounts & Cards.txt;588-868;0.859819284714477;1;;;
10;customize images from George overview;1;Change Your Background.txt;835-1132;0.872051409714441;1;1;1.0;1.0
10;customize images from George overview;2;Create and Edit Sections.txt;1326-1607;0.864807940645389;1;;;
10;customize images from George overview;3;Change Your Background.txt;296-572;0.8647528286081939;1;;;
11;How can you access your account settings in George via the app and the browser?;1;Account Settings.txt;140-438;0.8939964418490816;1;1;1.0;1.0
11;How can you access your account settings in George via the app and the browser?;2;Account Settings.txt;818-1053;0.8914569767821888;1;;;
11;How can you access your account settings in George via the app and the browser?;3;Account Settings.txt;285-546;0.8828334889035583;1;;;
12;"What information is available in the ""Info"" or ""Product Settings"" sections of your giro account?";1;Account Settings.txt;1301-1595;0.9162627716986831;1;1;1.0;1.0
