Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;How can you add a custom picture to an account or card in George?;1;A Picture tells a 1000 Words.txt;477-761;0.6679576106782061;1;1;1.0;1.0
1;How can you add a custom picture to an account or card in George?;2;A Picture tells a 1000 Words.txt;344-641;0.6176683421488292;1;;;
1;How can you add a custom picture to an account or card in George?;3;A Picture tells a 1000 Words.txt;564-827;0.6021610942204703;1;;;
2;What steps are required to delete a personalized picture in George via the web browser?;1;Claim a Credit Card Payment.txt;1750-2042;0.4838996086560789;1;1;1.0;1.0
2;What steps are required to delete a personalized picture in George via the web browser?;2;A Picture tells a 1000 Words.txt;477-761;0.47237814209845874;1;;;
2;What steps are required to delete a personalized picture in George via the web browser?;3;How to Change Your App Icon.txt;269-553;0.45198013943512505;1;;;
3;How can you change a picture for an account or card using the George app?;1;A Picture tells a 1000 Words.txt;477-761;0.6368694487173042;1;1;1.0;1.0
3;How can you change a picture for an account or card using the George app?;2;How to Change Your App Icon.txt;165-449;0.6060511784305;1;;;
3;How can you change a picture for an account or card using the George app?;3;A Picture tells a 1000 Words.txt;564-827;0.6038785258936038;1;;;
4;What other personalization options besides pictures are available in George?;1;Manage your Accounts & Cards.txt;2572-2851;0.5215292747075695;1;1;1.0;1.0
4;What other personalization options besides pictures are available in George?;2;Create and Edit Sections.txt;1127-1412;0.5180823040511136;1;;;
4;What other personalization options besides pictures are available in George?;3;A Picture tells a 1000 Words.txt;477-761;0.5162461887702783;1;;;
5;Can you personalize your account and card images directly from the overview screen in George?;1;A Picture tells a 1000 Words.txt;477-761;0.6222169511225614;1;1;1.0;1.0
5;Can you personalize your account and card images directly from the overview screen in George?;2;Name your Accounts & Cards.txt;362-658;0.6017348831370926;1;;;
5;Can you personalize your account and card images directly from the overview screen in George?;3;Colour up.txt;2198-2496;0.5807217409078065;1;;;
6;add image to account George;1;A Picture tells a 1000 Words.txt;477-761;0.6068654326573197;1;1;1.0;1.0
6;add image to account George;2;A Picture tells a 1000 Words.txt;564-827;0.5505045718410392;1;;;
6;add image to account George;3;A Picture tells a 1000 Words.txt;631-919;0.5196191341389629;1;;;
7;delete custom picture George online;1;A Picture tells a 1000 Words.txt;477-761;0.5042094569355645;1;1;1.0;0.6666666666666666
7;delete custom picture George online;2;A Picture tells a 1000 Words.txt;564-827;0.4389187449225734;1;;;
7;delete custom picture George online;3;Change Your Background.txt;388-673;0.3932146539683101;0;;;
8;change account/card image George app;1;A Picture tells a 1000 Words.txt;477-761;0.6236356410523027;1;1;1.0;1.0
8;change account/card image George app;2;A Picture tells a 1000 Words.txt;564-827;0.61628444798447;1;;;
8;change account/card image George app;3;A Picture tells a 1000 Words.txt;2188-2479;0.580692409460707;1;;;
9;personalization options in George;1;Change Your Background.txt;296-572;0.5452875221439146;1;1;1.0;1.0
9;personalization options in George;2;Create and Edit Sections.txt;1127-1412;0.5373773820099355;1;;;
9;personalization options in George;3;Manage your Accounts & Cards.txt;277-575;0.5294949372842142;1;;;
10;customize images from George overview;1;A Picture tells a 1000 Words.txt;477-761;0.5845748212196917;1;1;1.0;1.0
10;customize images from George overview;2;Manage your Accounts & Cards.txt;2498-2760;0.5435160796729901;1;;;
10;customize images from George overview;3;A Picture tells a 1000 Words.txt;564-827;0.5200767236226409;1;;;
11;How can you access your account settings in George via the app and the browser?;1;Geo Control.txt;3346-3605;0.6038049920669202;1;1;1.0;1.0
11;How can you access your account settings in George via the app and the browser?;2;Geo Control.txt;2498-2782;0.5833879625570553;1;;;
11;How can you access your account settings in George via the app and the browser?;3;George Help: Get Started with the George App on a New Device (s Identity).txt;6592-6835;0.5760523091314596;1;;;
12;"What information is available in the ""Info"" or ""Product Settings"" sections of your giro account?";1;Account Settings.txt;377-668;0.6284105595443148;1;1;1.0;1.0
12;"What information is available in the ""Info"" or ""Product Settings"" sections of your giro account?";2;Account Settings.txt;1149-1446;0.6212046831274514;1;;;
12;"What information is available in the ""Info"" or ""Product Settings"" sections of your giro account?";3;Account Settings.txt;285-546;0.6153999955363518;1;;;
13;Which permissions can be managed in the George browser version for your account?;1;Geo Control.txt;3346-3605;0.566745546617203;1;1;1.0;1.0
13;Which permissions can be managed in the George browser version for your account?;2;Get to know George Pro.txt;2960-3229;0.5450311580845127;1;;;
13;Which permissions can be managed in the George browser version for your account?;3;Geo Control.txt;3249-3522;0.5368068227575866;1;;;
14;What happens if you revoke a permission in George?;1;Open Orders.txt;1679-1953;0.4326761740705146;1;1;1.0;1.0
14;What happens if you revoke a permission in George?;2;How to Lock Your Credit Card.txt;1915-2199;0.41749996469789086;1;;;
14;What happens if you revoke a permission in George?;3;Open Orders.txt;3119-3394;0.416602016883718;1;;;
15;How can you activate and manage notifications related to your account activities?;1;Credit Card Notifications from George.txt;549-813;0.5120221220921084;1;1;1.0;1.0
15;How can you activate and manage notifications related to your account activities?;2;Account Settings.txt;2744-3019;0.4922185002588834;1;;;
15;How can you activate and manage notifications related to your account activities?;3;Account Settings.txt;2666-2929;0.4682083086160712;1;;;
16;access account settings George app browser;1;Get to know George Pro.txt;3413-3691;0.5403176897329153;1;1;1.0;1.0
16;access account settings George app browser;2;Get to know George Pro.txt;2960-3229;0.5341171660212863;1;;;
16;access account settings George app browser;3;George Help: Get Started with the George App on a New Device (s Identity).txt;6592-6835;0.5289464204409788;1;;;
17;view info product settings giro account George;1;Account Settings.txt;285-546;0.5123591172250391;1;1;1.0;1.0
17;view info product settings giro account George;2;Account Settings.txt;1632-1904;0.4855576289517366;1;;;
17;view info product settings giro account George;3;Account Settings.txt;1149-1446;0.48322495327619175;1;;;
18;manage permissions George browser account;1;Get to know George Pro.txt;2960-3229;0.49558433582266714;1;1;1.0;1.0
18;manage permissions George browser account;2;Get to know George Pro.txt;3045-3323;0.45252706943313814;1;;;
18;manage permissions George browser account;3;Get to know George Pro.txt;6780-7037;0.42431047114148596;1;;;
19;revoke permission George account effect;1;Account Settings.txt;2415-2712;0.3902202671812225;0;0;0.0;0.0
19;revoke permission George account effect;2;How to Lock Your Debit Card.txt;1045-1309;0.3868028055895144;0;;;
19;revoke permission George account effect;3;Geo Control.txt;568-814;0.3851863320862642;0;;;
20;activate manage account notifications George;1;Credit Card Notifications from George.txt;1258-1542;0.4611263229651078;1;1;1.0;1.0
20;activate manage account notifications George;2;Get to know George Pro.txt;6780-7037;0.45968626314112493;1;;;
20;activate manage account notifications George;3;How and Where You Receive Notifications.txt;1394-1686;0.45809227767947563;1;;;
21;How can you create and download an account statement in George using the app?;1;Account Statements.txt;328-609;0.6552791887577242;1;1;1.0;1.0
21;How can you create and download an account statement in George using the app?;2;Account Statements.txt;422-706;0.6202876889017759;1;;;
21;How can you create and download an account statement in George using the app?;3;Get Started with the George App on a New Device (George ID).txt;1924-2203;0.6076810383494546;1;;;
22;What options are available when creating an account statement in George via the web browser?;1;How to Open a New Savings Account.txt;174-464;0.5342954982040391;1;1;1.0;1.0
22;What options are available when creating an account statement in George via the web browser?;2;Geo Control.txt;2498-2782;0.5290267768312547;1;;;
22;What options are available when creating an account statement in George via the web browser?;3;Your Debit Card Overview.txt;333-607;0.5282932035533666;1;;;
23;Why are electronic account statements considered better than paper versions?;1;What's the Difference between a Debit Card and a Credit Card?.txt;90-358;0.40444144153746675;1;1;1.0;0.3333333333333333
23;Why are electronic account statements considered better than paper versions?;2;What's the Difference between a Debit Card and a Credit Card?.txt;224-490;0.39915497260477817;0;;;
23;Why are electronic account statements considered better than paper versions?;3;Your Credit Card Overview.txt;2646-2936;0.3747277279936442;0;;;
24;How does George determine the start date of a new account statement?;1;Account Statements.txt;3136-3424;0.49457656888336116;1;1;1.0;1.0
24;How does George determine the start date of a new account statement?;2;How to Open a New Current Account.txt;5868-6167;0.48482096840247224;1;;;
24;How does George determine the start date of a new account statement?;3;How to Open a New Savings Account.txt;174-464;0.4814565820355627;1;;;
25;How can you download specific transactions within a custom timeframe in George?;1;Account Statements.txt;328-609;0.5601406117359781;1;1;1.0;1.0
25;How can you download specific transactions within a custom timeframe in George?;2;Standing Orders.txt;535-827;0.5034864587854186;1;;;
25;How can you download specific transactions within a custom timeframe in George?;3;Account Statements.txt;238-513;0.49898823414758425;1;;;
26;create account statement George app;1;Account Statements.txt;422-706;0.5430661283941919;1;1;1.0;1.0
26;create account statement George app;2;Account Statements.txt;328-609;0.5332509791890524;1;;;
26;create account statement George app;3;Get Started with the George App on a New Device (George ID).txt;1924-2203;0.5284184925765275;1;;;
27;options account statement George web;1;Get to know George Pro.txt;2960-3229;0.4892733607390776;1;1;1.0;1.0
27;options account statement George web;2;Get to know George Pro.txt;3045-3323;0.4679095960679791;1;;;
27;options account statement George web;3;Get to know George Pro.txt;462-760;0.4595957543431616;1;;;
28;benefits electronic account statement George;1;Account Statements.txt;1818-2090;0.47413317001078337;1;1;1.0;1.0
28;benefits electronic account statement George;2;How to Open a New Current Account.txt;5868-6167;0.453058510160045;1;;;
28;benefits electronic account statement George;3;Get to know George Pro.txt;9547-9844;0.4475664563468809;1;;;
29;account statement start date rules George;1;What's the Difference between your Order List and your Transaction History?.txt;527-806;0.4227867109347142;1;1;1.0;0.3333333333333333
29;account statement start date rules George;2;What's the Difference between your Order List and your Transaction History?.txt;717-984;0.3965415870357629;0;;;
29;account statement start date rules George;3;How to Open a New Current Account.txt;5868-6167;0.39599708451454607;0;;;
30;download specific transactions George export;1;Export Your Search Results.txt;442-696;0.4999036778873528;1;1;1.0;1.0
30;download specific transactions George export;2;Export Your Search Results.txt;357-633;0.4867843413458669;1;;;
30;download specific transactions George export;3;Get to know George Pro.txt;12437-12730;0.4365501064718148;1;;;
31;How can you activate Apple Pay through the George App?;1;Apple Pay.txt;390-652;0.6630529465926457;1;1;1.0;1.0
31;How can you activate Apple Pay through the George App?;2;Apple Pay.txt;1157-1439;0.6591146031924691;1;;;
31;How can you activate Apple Pay through the George App?;3;Apple Pay.txt;1319-1618;0.6217881147866943;1;;;
32;What are the steps to add a new card via the Apple Wallet app?;1;Apple Pay.txt;2044-2320;0.5337209765501849;1;1;1.0;1.0
32;What are the steps to add a new card via the Apple Wallet app?;2;Apple Pay.txt;2878-3136;0.5237979393856362;1;;;
32;What are the steps to add a new card via the Apple Wallet app?;3;Debit Card Features.txt;2832-3113;0.5069573076657952;1;;;
33;How can you remove a card from the Apple Wallet?;1;Apple Pay.txt;5595-5848;0.5736876485956335;1;1;1.0;1.0
33;How can you remove a card from the Apple Wallet?;2;Apple Pay.txt;4945-5239;0.5704819956983969;1;;;
33;How can you remove a card from the Apple Wallet?;3;Apple Pay.txt;4863-5143;0.5661966042831844;1;;;
34;What authentication methods are used when paying with Apple Pay?;1;Apple Pay.txt;741-1022;0.6233178156086748;1;1;1.0;1.0
34;What authentication methods are used when paying with Apple Pay?;2;Apple Pay.txt;653-915;0.6006652214344332;1;;;
34;What authentication methods are used when paying with Apple Pay?;3;Apple Pay.txt;390-652;0.5800845698116628;1;;;
