Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;3291-3564;0.8658771725704495;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;1981-2278;0.8643205236485144;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;1611-1896;0.8635147120936895;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6891-7188;0.8611631854212483;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;7090-7380;0.8593487834047;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6990-7289;0.8574325518139785;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10531-10826;0.8628005183791464;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10915-11208;0.8618656366572985;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;3868-4162;0.8614128431474548;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Account Statements.txt;4397-4696;0.8129092319675445;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Account Statements.txt;4113-4411;0.8101540074043567;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Get to know George Pro.txt;13675-13968;0.8089674702489577;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5726-6021;0.8483435773753669;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;5624-5923;0.8461553874527116;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;13862-14160;0.8444735045360431;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;3291-3564;0.8641726208751265;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;1981-2278;0.8571377325751396;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1611-1896;0.8547697194034817;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;8001-8247;0.8713122510218698;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;1016-1310;0.8693623567890914;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;8154-8452;0.8674698141597024;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;914-1211;0.8477645467315645;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;10531-10826;0.845196292453801;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;717-1015;0.8426283967636342;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12713-13011;0.8675072946663142;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;717-1015;0.8658098147841854;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;12614-12909;0.8594778445746121;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13969-14267;0.8203478437095386;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;14173-14471;0.8097788257336148;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;14074-14371;0.7902119186713773;1;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;5971-6267;0.867420831033;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;4805-5098;0.8591360409593012;1;;;
11;George Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;5919-6170;0.8510755690709417;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;Credit Card Notifications from George.txt;3648-3943;0.7988418911128882;1;1;1.0;1.0
12;Push-Benachrichtigungen Themenauswahl;2;Credit Card Notifications from George.txt;5414-5713;0.7890383913574577;1;;;
12;Push-Benachrichtigungen Themenauswahl;3;Credit Card Notifications from George.txt;2863-3162;0.7863814166421919;1;;;
13;George Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;3612-3893;0.8601401587394983;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;Quick search with Filters.txt;1018-1317;0.8541492761305778;1;;;
