Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;2591-2883;0.6161143871023194;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;2687-2980;0.6141149615989938;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;2489-2788;0.591086147980216;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6981-7279;0.6093366802393276;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;7081-7371;0.5790711169130667;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;4143-4440;0.5690707303279041;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10699-10998;0.5936008594466229;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10906-11199;0.5793507737999657;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10799-11098;0.566457387725158;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;What's the Difference between your Order List and your Transaction History?.txt;1227-1526;0.4651519459497852;1;1;1.0;0.6666666666666666
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;What's the Difference between your Order List and your Transaction History?.txt;1913-2211;0.41430045833409684;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Create a New Transfer with George.txt;1666-1963;0.3968188061589614;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5617-5915;0.5732757170335893;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;4942-5241;0.5629519128505914;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;5044-5341;0.5425331065257856;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2591-2883;0.6247613698054142;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;2489-2788;0.6160742625013556;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;2687-2980;0.6011545531358509;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;1010-1300;0.5518631245894088;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;7173-7465;0.551462036599011;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;4042-4341;0.5346830945298994;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;4444-4741;0.5776964064222789;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;5908-6205;0.5705208458623122;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;4042-4341;0.5491901915722983;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;1010-1300;0.5812614485742453;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;6981-7279;0.5737073686715305;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;5455-5753;0.5644863692717982;1;;;
