Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;Get to know George Pro.txt;1965-2247;0.6051375020361432;1;1;1.0;1.0
1;Wie aktiviert man George kPro;2;Get to know George Pro.txt;2619-2913;0.5699541935390913;1;;;
1;Wie aktiviert man George kPro;3;Get to know George Pro.txt;4164-4461;0.6072880157319533;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;Get to know George Pro.txt;6930-7223;0.6989724191930486;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;Get to know George Pro.txt;6840-7128;0.714764751576813;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;Get to know George Pro.txt;993-1291;0.6676764756783887;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;Get to know George Pro.txt;10499-10762;0.588995208120181;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;Get to know George Pro.txt;10672-10952;0.5812559951451726;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;Get to know George Pro.txt;10763-11036;0.585130997923738;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;Export Your Search Results.txt;357-633;0.5451274397002791;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Export Your Search Results.txt;266-535;0.5637844265214678;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Get to know George Pro.txt;12532-12828;0.5442667420579335;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;13726-14013;0.6825352993419539;1;1;1.0;1.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;13816-14095;0.6583637308090606;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;12829-13118;0.6155988179856416;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;Get to know George Pro.txt;1965-2247;0.609119083029966;1;1;1.0;1.0
6;Aktivierung von George Pro Schrit-für-Schritt;2;Get to know George Pro.txt;2619-2913;0.6150052610389871;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;3;Get to know George Pro.txt;2717-3003;0.6278123288903268;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7038-7315;0.659432747524735;1;1;1.0;1.0
7;Automatisccher Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8161-8448;0.5869915667712022;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;6840-7128;0.6482541435231235;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;1;Get to know George Pro.txt;12176-12448;0.6214051374784489;1;1;1.0;1.0
8;Liquditätsprognose in Geroge Pro Funktion ... n;2;Get to know George Pro.txt;10763-11036;0.6061476120948313;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;3;Get to know George Pro.txt;10579-10850;0.6052212139723705;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12364-12635;0.7008609733876527;1;1;1.0;1.0
9;Exportfunkt ... on George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;12437-12730;0.723949243557104;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;12636-12918;0.6167992524809314;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;1;Get to know George Pro.txt;13726-14013;0.6278032005280363;1;1;1.0;1.0
