Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;George Pro: eine Einführung.txt;1591-1862;0.9135335739488404;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;George Pro: eine Einführung.txt;1696-1982;0.9080829396485885;1;;;
1;Wie aktiviert man George Pro?;3;George Pro: eine Einführung.txt;2901-3195;0.9063913770970544;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;George Pro: eine Einführung.txt;6553-6841;0.9322089401248123;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;George Pro: eine Einführung.txt;6399-6692;0.9184979721970281;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;George Pro: eine Einführung.txt;7651-7936;0.9164067225280703;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;George Pro: eine Einführung.txt;11642-11918;0.907915087882683;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;George Pro: eine Einführung.txt;757-1044;0.9007916964281111;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;George Pro: eine Einführung.txt;11375-11641;0.899946517466776;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;George Pro: eine Einführung.txt;13760-14022;0.8725368827321679;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Export von Suchergebnissen.txt;226-515;0.8698198866346838;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Kontoauszüge.txt;4029-4321;0.8679329100295656;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;George Pro: eine Einführung.txt;15038-15308;0.8939161568831983;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;George Pro: eine Einführung.txt;1328-1612;0.8920147571522696;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;George Pro: eine Einführung.txt;15130-15395;0.8896971992765342;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;George Pro: eine Einführung.txt;3036-3305;0.9105854370002043;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;George Pro: eine Einführung.txt;1983-2251;0.9100745165158732;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;George Pro: eine Einführung.txt;1591-1862;0.9051157640666148;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;10239-10523;0.9168462703077699;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;10325-10585;0.9063961323358212;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;8431-8712;0.9061398287708742;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;George Pro: eine Einführung.txt;1045-1327;0.8885944506917143;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;George Pro: eine Einführung.txt;6399-6692;0.8846977934090803;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;George Pro: eine Einführung.txt;6553-6841;0.8814294172923988;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;George Pro: eine Einführung.txt;13850-14120;0.9091478902319283;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;George Pro: eine Einführung.txt;14108-14376;0.8977097916467021;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;George Pro: eine Einführung.txt;1045-1327;0.895628940002076;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;George Pro: eine Einführung.txt;15235-15521;0.870266716424069;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;George Pro: eine Einführung.txt;15038-15308;0.8670520447864696;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;George Pro: eine Einführung.txt;15130-15395;0.8615223801188004;1;;;
11;George Benachrichtigungen aktivieren;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9075893151372976;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;1536-1802;0.9058298304937167;1;;;
11;George Benachrichtigungen aktivieren;3;Benachrichtigungen von George.txt;6827-7124;0.8997837202365868;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1404-1697;0.870647517334439;1;1;1.0;1.0
12;Push-Benachrichtigungen Themenauswahl;2;Betreuer:in kontaktieren.txt;959-1198;0.8578438696100054;1;;;
12;Push-Benachrichtigungen Themenauswahl;3;Benachrichtigungen von George.txt;2518-2805;0.8561438369460495;1;;;
13;George Konto Transaktionsbenachrichtigungen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2900-3182;0.8981311699080482;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1958-2232;0.8961245661605142;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;Wo und wie Sie Benachrichtigungen erhalten.txt;2124-2422;0.8952542263973624;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1560-1845;0.912236124229225;1;1;1.0;1.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1500-1709;0.9088126420740945;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;Benachrichtigungen von George.txt;2974-3249;0.890235768260855;1;;;
15;Benachrichtigung bei Währungsumrechnung George;1;Wo und wie Sie Benachrichtigungen erhalten.txt;3223-3519;0.9075069797928288;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;Wo und wie Sie Benachrichtigungen erhalten.txt;3009-3294;0.8966077603741178;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;Wo und wie Sie Benachrichtigungen erhalten.txt;3109-3397;0.8963167764470631;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9281728085670509;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George?;2;Benachrichtigungen von George.txt;2974-3249;0.9161793644829811;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;3;Benachrichtigungen von George.txt;1536-1802;0.9158775698263393;1;;;
17;Benachrichtigungen über George einstellen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.938920271886565;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;Benachrichtigungen von George.txt;1536-1802;0.9254986663276313;1;;;
17;Benachrichtigungen über George einstellen;3;Benachrichtigungen von George.txt;1435-1702;0.9097604082529924;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.9069711094519697;1;1;1.0;1.0
